Year,Type,Original funding cluster,Original funding cluster description,Original part of funding cluster,2020 funding cluster,2020 funding cluster description,Broad field of education,Student enrolments: commencing students,Student enrolments: not commencing students,Award course completions,Study area name,FTE +1yr (%),Overall Empl. +1yr (%),Median starting salary +1yr ($),Part funding cluster,Unit description,Field of education code,Maximum student contribution amounts,Commonwealth contribution amounts
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Behavioural science or social studies,Sociology,90301,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Behavioural science or social studies,Studies in Human Society,90300,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Behavioural science or social studies,Studies in Human Society not elsewhere classified,90399,"$5,442","$8,808"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Languages,Australian Indigenous Languages,91517,"$5,442","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Languages,Eastern Asian Languages,91515,"$5,442","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Languages,Eastern European Languages,91507,"$5,442","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Languages,Northern European Languages,91503,"$5,442","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Languages,Southeast Asian Languages,91513,"$5,442","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Languages,Southern Asian Languages,91511,"$5,442","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Languages,Southern European Languages,91505,"$5,442","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Languages,Southwest Asian and North African Languages,91509,"$5,442","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615","Humanities, Culture and Social Sciences",66.8,88.3,50,Languages,Translating and Interpreting,91519,"$5,442","$10,832"
2011,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Society and Culture,"55,284","107,227","28,615",Law and Paralegal Studies,80,92.3,52,"Law, accounting, administration, economics, commerce",Law,909,"$9,080","$1,793"
2011,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"55,284","107,227","28,615",Law and Paralegal Studies,80,92.3,52,Humanities,Justice and Law Enforcement,911,"$5,442","$4,979"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,Agriculture,Pathology,60113,"$7,756","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",Anaesthesiology,60111,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",General Medicine,60101,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",General Practice,60119,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",Internal Medicine,60117,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",Medical Studies,60100,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",Medical Studies not elsewhere classified,60199,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",Obstetrics and Gynaecology,60107,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",Paediatrics,60109,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",Psychiatry,60105,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",Radiology,60115,"$9,080","$19,542"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Medicine,98.1,98.7,60,"Dentistry, medicine or veterinary science",Surgery,60103,"$9,080","$19,542"
2011,Old,Funding cluster 6,Nursing,Nursing,Funding cluster 6,Nursing,Health,"35,173","68,263","20,695",Nursing,91.6,97.6,50,Nursing,Nursing,603,"$5,442","$12,093"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"35,173","68,263","20,695",Pharmacy,98.1,98.2,38.8,Allied health,Pharmacy,605,"$7,756","$10,832"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Psychology,63.2,88.7,49,Behavioural science or social studies,Behavioural Science,907,"$5,442","$8,808"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"55,284","107,227","28,615",Psychology,63.2,88.7,49,Clinical psychology,Clinical psychology,907012,"$5,442","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"35,173","68,263","20,695",Rehabilitation,89.3,96.4,54,Allied health,Occupational Therapy,61703,"$7,756","$10,832"
2011,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"35,173","68,263","20,695",Rehabilitation,89.3,96.4,54,Allied health,Physiotherapy,61701,"$7,756","$10,832"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Mathematics or statistics,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,Mathematics or statistics,Mathematical Sciences,101,"$4,355","$8,808"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Biological Sciences,109,"$4,355","$15,398"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Chemical Sciences,105,"$4,355","$15,398"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Earth Sciences,107,"$4,355","$15,398"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Food Science and Biotechnology,19905,"$4,355","$15,398"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Forensic Science,19903,"$4,355","$15,398"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Laboratory Technology,19909,"$4,355","$15,398"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Natural and Physical Sciences not elsewhere classified,19999,"$4,355","$15,398"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Other Natural and Physical Sciences,19900,"$4,355","$15,398"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Pharmacology,19907,"$4,355","$15,398"
2011,Old,Funding cluster 7,"Engineering, science, surveying",Science,Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Science, Engineering or surveying",Physics and Astronomy,103,"$4,355","$15,398"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Natural and Physical Sciences,"23,853","41,087","12,513",Science and Mathematics,62.8,86.8,53,"Dentistry, medicine or veterinary science",Medical Science,19901,"$9,080","$19,542"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Care for the Aged,90507,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Care for the Disabled,90509,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Children’s Services,90503,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Counselling,90513,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Human Welfare Studies and Services,90500,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Human Welfare Studies and Services not elsewhere classified,90599,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Residential Client Care,90511,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Social Work,90501,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Welfare Studies,90515,"$5,442","$8,808"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615",Social Work,75.3,90.1,50,Behavioural science or social studies,Youth Work,90505,"$5,442","$8,808"
2011,Old,Funding cluster 4,Education,Education,Funding cluster 4,Education,Education,"20,824","42,125","10,495",Teacher Education,74.9,95.2,56,Education,Curriculum and Education Studies,703,"$5,442","$9,164"
2011,Old,Funding cluster 4,Education,Education,Funding cluster 4,Education,Education,"20,824","42,125","10,495",Teacher Education,74.9,95.2,56,Education,Other Education,799,"$5,442","$9,164"
2011,Old,Funding cluster 4,Education,Education,Funding cluster 4,Education,Education,"20,824","42,125","10,495",Teacher Education,74.9,95.2,56,Education,Teacher Education,701,"$5,442","$9,164"
2011,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce","Food, Hospitality and Personal Services",0,14,6,"Tourism, Hospitality, Personal Services, Sport and Recreation",60.7,89.8,43.3,"Law, accounting, administration, economics, commerce",Food and Hospitality,1101,"$9,080","$1,793"
2011,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce","Food, Hospitality and Personal Services",0,14,6,"Tourism, Hospitality, Personal Services, Sport and Recreation",60.7,89.8,43.3,"Law, accounting, administration, economics, commerce",Personal Services,1103,"$9,080","$1,793"
2011,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"34,899","79,632","22,828","Tourism, Hospitality, Personal Services, Sport and Recreation",60.7,89.8,43.3,"Law, accounting, administration, economics, commerce",Tourism,807,"$9,080","$1,793"
2011,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Mixed Field Programmes,0,0,0,"Tourism, Hospitality, Personal Services, Sport and Recreation",60.7,89.8,43.3,"Law, accounting, administration, economics, commerce",General Education Programmes,1201,"$9,080","$1,793"
2011,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Mixed Field Programmes,0,0,0,"Tourism, Hospitality, Personal Services, Sport and Recreation",60.7,89.8,43.3,"Law, accounting, administration, economics, commerce",Other Mixed Field Programmes,1299,"$9,080","$1,793"
2011,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"55,284","107,227","28,615","Tourism, Hospitality, Personal Services, Sport and Recreation",60.7,89.8,43.3,Behavioural science or social studies,Sport and Recreation,921,"$5,442","$8,808"
2011,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"35,173","68,263","20,695",Veterinary Science,80.8,91.3,45,"Dentistry, medicine or veterinary science",Veterinary Studies,611,"$9,080","$19,542"
2012,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,621","6,749","1,763",Agriculture and Environmental Studies,64.4,86.4,49,Agriculture,Agriculture,501,"$8,050","$20,284"
2012,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,621","6,749","1,763",Agriculture and Environmental Studies,64.4,86.4,49,Agriculture,Fisheries Sciences,507,"$8,050","$20,284"
2012,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,621","6,749","1,763",Agriculture and Environmental Studies,64.4,86.4,49,Agriculture,Forestry Sciences,505,"$8,050","$20,284"
2012,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,621","6,749","1,763",Agriculture and Environmental Studies,64.4,86.4,49,Agriculture,Horticulture and Viticulture,503,"$8,050","$20,284"
2012,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,621","6,749","1,763",Agriculture and Environmental Studies,64.4,86.4,49,Agriculture,"Other Agriculture, Environmental and Related Studies",599,"$8,050","$20,284"
2012,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,621","6,749","1,763",Agriculture and Environmental Studies,64.4,86.4,49,Environmental Studies,Environmental Studies,509,"$8,050","$20,284"
2012,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Architecture and Building,"5,792","11,664","3,127",Architecture and Building,69.9,87.4,48.8,"Computing, built environment or other health",Architecture and Urban Environment,401,"$8,050","$9,142"
2012,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Architecture and Building,"5,792","11,664","3,127",Architecture and Building,69.9,87.4,48.8,"Computing, built environment or other health",Building,403,"$8,050","$9,142"
2012,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"38,655","79,283","21,780",Business and Management,73.6,89.8,49.5,"Law, accounting, administration, economics, commerce",Accounting,801,"$9,425","$1,861"
2012,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"38,655","79,283","21,780",Business and Management,73.6,89.8,49.5,"Law, accounting, administration, economics, commerce","Banking, Finance and Related Fields",811,"$9,425","$1,861"
2012,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"38,655","79,283","21,780",Business and Management,73.6,89.8,49.5,"Law, accounting, administration, economics, commerce",Business and Management,803,"$9,425","$1,861"
2012,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"38,655","79,283","21,780",Business and Management,73.6,89.8,49.5,"Law, accounting, administration, economics, commerce",Office Studies,809,"$9,425","$1,861"
2012,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"38,655","79,283","21,780",Business and Management,73.6,89.8,49.5,"Law, accounting, administration, economics, commerce",Other Management and Commerce,899,"$9,425","$1,861"
2012,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"38,655","79,283","21,780",Business and Management,73.6,89.8,49.5,"Law, accounting, administration, economics, commerce",Sales and Marketing,805,"$9,425","$1,861"
2012,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Society and Culture,"59,745","111,453","29,279",Business and Management,73.6,89.8,49.5,"Law, accounting, administration, economics, commerce",Economics and Econometrics,919,"$9,425","$1,861"
2012,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"18,589","31,882","10,773",Communications,55.8,87,42,Communications,Communication and Media Studies,1007,"$5,648","$11,243"
2012,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Information Technology,"7,230","12,525","2,901",Computing and Information Systems,70.3,84.7,53,"Computing, built environment or other health",Computer Science,201,"$8,050","$9,142"
2012,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Information Technology,"7,230","12,525","2,901",Computing and Information Systems,70.3,84.7,53,"Computing, built environment or other health",Information Systems,203,"$8,050","$9,142"
2012,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Information Technology,"7,230","12,525","2,901",Computing and Information Systems,70.3,84.7,53,"Computing, built environment or other health",Other Information Technology,299,"$8,050","$9,142"
2012,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"18,589","31,882","10,773",Creative Arts,48.3,84.2,40,Creative arts,Graphic and Design Studies,1005,"$5,648","$11,243"
2012,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"18,589","31,882","10,773",Creative Arts,48.3,84.2,40,Creative arts,Other Creative Arts,1099,"$5,648","$11,243"
2012,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"18,589","31,882","10,773",Creative Arts,48.3,84.2,40,Creative arts,Performing Arts,1001,"$5,648","$11,243"
2012,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"18,589","31,882","10,773",Creative Arts,48.3,84.2,40,Creative arts,Visual Arts and Crafts,1003,"$5,648","$11,243"
2012,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"39,471","72,456","21,199",Dentistry,79.3,93.5,80,"Dentistry, medicine or veterinary science",Dental Studies,607,"$9,425","$20,284"
